country,all_connected_pct,male_connected_pct,female_connected_pct,all_lonely_pct,male_lonely_pct,female_lonely_pct,gender_gap_lonely,year,source,source_url
Mauritius,79,81,77,14,15,14,-1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Mexico,70,69,70,18,19,17,-2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Mongolia,95,96,94,8,7,9,2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Montenegro,85,86,85,30,29,31,2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Morocco,49,49,48,22,21,23,2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Mozambique,56,54,58,24,26,23,-3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Myanmar,70,71,70,21,26,16,-10,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Namibia,67,68,65,47,48,47,-1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Nepal,84,85,83,43,40,46,6,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Netherlands,88,85,92,8,8,8,0,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
New Zealand,79,74,84,12,12,12,0,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Nicaragua,52,55,49,19,17,20,3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Niger,82,83,81,43,40,46,6,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Nigeria,85,84,86,27,26,27,1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
North Macedonia,81,80,81,20,17,23,6,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Northern Cyprus,48,48,47,17,17,17,0,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Norway,85,80,89,8,8,8,0,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Pakistan,68,70,66,41,44,38,-6,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Palestinian Territories,70,68,73,23,20,26,6,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Panama,59,59,59,19,18,20,2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Paraguay,63,65,61,23,24,23,-1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Peru,61,65,57,24,25,24,-1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Philippines,80,79,81,57,59,56,-3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Poland,75,72,77,11,10,12,2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Portugal,83,83,84,17,14,20,6,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Puerto Rico,75,73,77,19,17,21,4,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Republic of Moldova,63,68,58,18,16,20,4,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Romania,80,86,75,19,16,22,6,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Russian Federation,68,65,70,8,8,8,0,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Saudi Arabia,65,64,65,22,24,20,-4,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Senegal,84,85,83,41,41,40,-1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Serbia,84,82,85,24,20,27,7,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Sierra Leone,69,74,64,41,41,41,0,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Singapore,73,74,73,14,13,15,2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Slovakia,75,73,77,9,8,9,1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Slovenia,91,90,92,6,7,4,-3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
South Africa,81,84,78,39,38,39,1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
South Korea,72,70,75,16,15,17,2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Spain,72,70,74,12,11,12,1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Sri Lanka,81,85,77,29,28,29,1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Sweden,90,88,93,8,8,8,0,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Switzerland,83,81,86,13,16,11,-5,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
"Taiwan, Province of China",92,92,92,17,16,17,1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Tajikistan,83,84,81,26,25,28,3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Tanzania,83,84,82,36,37,35,-2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Thailand,64,70,58,10,10,10,0,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
The Gambia,83,85,81,47,43,50,7,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
The Republic of the Congo,50,57,42,25,27,24,-3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Togo,61,63,59,28,32,24,-8,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Tunisia,60,53,66,24,25,23,-2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Türkiye,54,55,53,16,15,16,1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Uganda,79,80,79,53,53,53,0,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Ukraine,80,80,80,6,7,6,-1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
United Arab Emirates,61,59,66,28,30,24,-6,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
United Kingdom of Great Britain and Northern Ireland,85,87,84,13,13,14,1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
United States of America,78,77,78,15,12,18,6,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Uruguay,79,80,79,25,23,26,3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Uzbekistan,82,84,81,8,5,9,4,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Venezuela,68,69,67,21,22,21,-1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Vietnam,86,87,85,5,4,5,1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Yemen,69,66,72,19,20,18,-2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Zambia,76,75,76,32,33,32,-1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Zimbabwe,79,81,78,44,43,44,1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
